fecha,codigo_agente,nombre_agente,segmento,estrategia,cluster,demanda_gwh_dia,pct_no_regulado,pct_cobertura_contratos,pct_exposicion_bolsa,pct_sicep,compra_regulado_1_0,margen_est_cop_kwh,costo_energia_est_cop_kwh
2026-01-02,CNSC,CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. E.S.P.,MEDIANO,Comercializador regulado,2,4.5466,0.0,91.16,8.84,96.35,1.0,-44.94,311.7
2026-01-02,CQTC,ELECTRIFICADORA DEL CAQUETA S.A. E.S.P.,MEDIANO,Comercializador regulado,2,0.8347,0.0,14.18,85.82,70.17,1.0,-64.9,331.7
2026-01-02,CSIC,AIR- E S.A.S. E.S.P. - INTERVENIDO,GRANDE,Integrado/regional regulado,1,26.1246,6.98,82.69,17.31,28.45,1.0,-47.14,313.9
2026-01-02,DLRC,DICELER S.A. E.S.P.,PEQUEÑO,Comercializador regulado,2,0.0116,0.0,143.46,473.36,0.0,1.0,-500,329.3
2026-01-02,DRUC,DRUMMOND POWER S.A.S. E.S.P.,MEDIANO,Trader con sobrecobertura de contratos,4,0.5307,100.0,168.33,1.34,0.0,0.0,-311.58,309.6
2026-01-02,EBPC,EMPRESA DE ENERGIA DEL BAJO PUTUMAYO S.A. E.S.P.,PEQUEÑO,Comercializador regulado,2,0.2587,0.0,97.66,6.52,87.08,1.0,-60.47,311.0
2026-01-02,EBSC,EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P.,MEDIANO,Comercializador regulado,2,2.7127,8.75,86.5,14.19,64.66,1.0,-48.98,313.1
2026-01-02,EDPC,EMPRESA DISTRIBUIDORA DEL PACIFICO S.A. E.S.P.,MEDIANO,Comercializador regulado,2,0.7188,0.0,19.71,80.29,0.0,1.0,-63.46,330.2
2026-01-02,EDQC,EMPRESA DE ENERGIA DEL QUINDIO S.A. E.S.P.,MEDIANO,Comercializador regulado,2,1.3236,0.0,86.53,13.5,93.29,1.0,-46.26,312.9
2026-01-02,EEPC,EMPRESA DE ENERGIA DE PEREIRA S.A. E.S.P.,MEDIANO,Comercializador regulado,2,2.2662,23.32,91.16,23.52,71.49,1.0,-105.34,314.7
