estudio_ini,estudio_fin,impacto_ini,impacto_fin,segmento,estrategia,n_maestros,n_efectivo,codigos,mediana_relativa_top_cop_kwh,mediana_margen_absoluto_cop_kwh,p_valor_bootstrap,ratio_replicacion,dsr,pct_dias_gana_segmento,kill_switch_1_0,drawdown_max_cop_kwh,ev_historico_cop_kwh,ev_anio_nino_cop_kwh,supera_capacidad_1_0,capacidad_pct_segmento,mae_f1_promedio_pp,candidata_1_0,valida_cheap_1_0
2015-07-30,2015-10-27,2015-10-28,2015-11-03,MEDIANO,Trader no regulado,5,1,"ENDC,GECC,ISGC,PRIC,CHVC",13.51,74.81,0.1592,0.949,1.0,100.0,0,0.0,75.44,76.29,0,2.7,0.0,0,0
2015-08-29,2015-11-26,2015-11-27,2015-12-03,PEQUEÑO,Comercializador regulado,10,5,"ASCC,CETC,EBPC,EMEC,EPTC,EVSC,CTIC,CQTC,ENIC,EDPC",86.2,72.11,0.005,0.966,1.0,100.0,0,0.0,73.08,74.38,0,2.4,0.0,1,1
2015-08-29,2015-11-26,2015-11-27,2015-12-03,MEDIANO,Comercializador regulado,10,4,"EPSC,ETTC,CNSC,EEPC,CHCC,HLAC,CDNC,EMSC,ESSC,EDQC",9.99,20.13,0.005,0.822,1.0,71.4,0,0.0,24.51,30.42,0,2.7,2.69,1,1
2015-08-29,2015-11-26,2015-11-27,2015-12-03,GRANDE,Comercializador regulado,3,1,"EPMC,CDSC,EDCC",0.0,25.18,0.005,0.856,1.0,57.1,0,0.0,29.61,35.59,1,31.8,1.39,0,0
2015-08-29,2015-11-26,2015-11-27,2015-12-03,PEQUEÑO,Trader no regulado,10,7,"TRMC,GSAC,CCOC,PEEC,CMXC,ITLC,EFEC,RQEC,ESPC,RTAC",-29.56,11.83,0.005,0.909,1.0,85.7,0,0.0,13.77,16.39,0,2.4,7.58,1,1
2015-08-29,2015-11-26,2015-11-27,2015-12-03,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),2,1,"HIMC,DLRC",-444.12,-549.38,0.2239,1.039,0.0,0.0,1,3834.97,-500.74,-435.1,0,2.4,25.0,0,0
2015-08-29,2015-11-26,2015-11-27,2015-12-03,MEDIANO,Trader no regulado,5,1,"ENDC,GECC,ISGC,PRIC,CHVC",54.08,72.11,0.2388,0.966,1.0,100.0,0,0.0,73.08,74.38,0,2.7,0.0,0,0
2015-09-28,2015-12-26,2015-12-27,2016-01-02,PEQUEÑO,Comercializador regulado,10,5,"ASCC,CETC,EBPC,EMEC,EPTC,EVSC,CTIC,CQTC,ENIC,EDPC",86.2,72.15,0.005,0.997,1.0,100.0,0,0.0,72.19,72.23,0,2.4,1.22,1,1
2015-09-28,2015-12-26,2015-12-27,2016-01-02,MEDIANO,Comercializador regulado,10,3,"EPSC,ETTC,EEPC,CNSC,CHCC,HLAC,EECC,CDNC,CASC,EMSC",13.67,53.06,0.005,2.024,0.893,100.0,0,0.0,52.71,52.24,0,2.8,3.43,0,0
2015-09-28,2015-12-26,2015-12-27,2016-01-02,GRANDE,Comercializador regulado,3,3,"EPMC,CDSC,EDCC",0.0,61.95,0.005,2.264,0.995,71.4,0,0.0,61.72,61.4,1,31.8,0.9,0,0
2015-09-28,2015-12-26,2015-12-27,2016-01-02,PEQUEÑO,Trader no regulado,10,9,"TRMC,GSAC,CMXC,CCOC,PEEC,EFEC,ITLC,RQEC,ESPC,RTAC",-29.12,27.93,0.005,1.934,0.956,57.1,0,0.0,27.99,28.06,0,2.4,21.09,0,0
2015-09-28,2015-12-26,2015-12-27,2016-01-02,MEDIANO,Trader no regulado,5,2,"ENDC,GECC,ISGC,PRIC,CHVC",64.38,72.15,0.194,0.997,1.0,100.0,0,0.0,72.19,72.23,0,2.8,0.0,0,0
2015-09-28,2015-12-26,2015-12-27,2016-01-02,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),2,1,"DLRC,HIMC",-451.15,-18.25,0.7761,0.034,0.0,0.0,1,585.56,-22.79,-28.91,0,2.4,12.5,0,0
2015-10-28,2016-01-25,2016-01-26,2016-02-01,PEQUEÑO,Comercializador regulado,10,4,"ASCC,CETC,EBPC,EMEC,EVSC,ETTC,EPTC,CTIC,CQTC,EDPC",63.94,73.46,0.005,1.015,0.857,100.0,0,0.0,73.11,72.64,0,2.1,0.01,0,0
2015-10-28,2016-01-25,2016-01-26,2016-02-01,MEDIANO,Comercializador regulado,10,7,"EPSC,EEPC,CHCC,HLAC,CNSC,EECC,EMSC,ESSC,CASC,CDNC",2.12,30.12,0.005,1.346,0.727,100.0,0,0.0,32.17,34.94,0,2.9,2.94,0,0
2015-10-28,2016-01-25,2016-01-26,2016-02-01,GRANDE,Comercializador regulado,3,3,"EPMC,CDSC,EDCC",0.0,46.42,0.005,1.75,0.959,100.0,0,0.0,47.57,49.12,1,32.1,2.72,0,0
2015-10-28,2016-01-25,2016-01-26,2016-02-01,PEQUEÑO,Trader no regulado,10,8,"TRMC,GSAC,CMXC,CCOC,ITLC,PEEC,EFEC,RQEC,TPLC,ESPC",-42.51,31.29,0.005,1.388,0.821,100.0,0,0.0,32.24,33.52,0,2.1,8.06,0,0
2015-10-28,2016-01-25,2016-01-26,2016-02-01,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),4,2,"CTIC,EMPC,DLRC,HIMC",-353.63,-194.88,0.0149,0.457,0.0,0.0,1,1382.5,-178.36,-156.06,0,2.1,0.0,0,0
