estudio_ini,estudio_fin,impacto_ini,impacto_fin,segmento,arquetipo_ganador,n_arquetipos,n_efectivo,codigos_arquetipos,p_valor_bootstrap_arquetipo,ratio_replicacion,dsr,holdout_pct,pct_dias_gana_segmento,kill_switch_1_0,ev_historico_cop_kwh,supera_capacidad_1_0,mae_f1_promedio_pp,candidata_1_0,valida_cheap_1_0
2015-11-27,2016-02-24,2016-02-25,2016-03-02,GRANDE,Comercializador regulado,1,1,"Comercializador regulado,Comercializador regulado,Comercializador regulado",1.0,1.123,1.0,,100.0,0,30.12,1,,0,0
2015-12-27,2016-03-25,2016-03-26,2016-04-01,MEDIANO,Trader no regulado,2,2,"Trader no regulado,Trader no regulado,Trader no regulado",0.005,0.989,1.0,,100.0,0,71.59,0,,0,0
2015-12-27,2016-03-25,2016-03-26,2016-04-01,PEQUEÑO,Comercializador regulado,3,3,"Comercializador regulado,Comercializador regulado,Comercializador regulado",0.005,0.989,1.0,,100.0,0,71.59,0,,1,1
2015-12-27,2016-03-25,2016-03-26,2016-04-01,GRANDE,Comercializador regulado,1,1,"Comercializador regulado,Comercializador regulado,Comercializador regulado",1.0,-1.127,1.0,,0.0,0,-8.86,1,,0,0
2016-01-26,2016-04-24,2016-04-25,2016-05-01,MEDIANO,Trader no regulado,2,2,"Trader no regulado,Trader no regulado,Trader no regulado,Trader no regulado",0.005,1.049,0.993,,100.0,0,75.45,0,,0,0
2016-01-26,2016-04-24,2016-04-25,2016-05-01,PEQUEÑO,Comercializador regulado,3,3,"Comercializador regulado,Comercializador regulado,Comercializador regulado,Comercializador regulado",0.005,1.049,0.984,,100.0,0,75.45,0,,1,1
2016-01-26,2016-04-24,2016-04-25,2016-05-01,GRANDE,Comercializador regulado,1,1,"Comercializador regulado,Comercializador regulado,Comercializador regulado,Comercializador regulado",1.0,21.508,1.0,,42.9,0,69.39,1,,0,0
2016-02-25,2016-05-24,2016-05-25,2016-05-31,MEDIANO,Trader no regulado,2,2,"Comercializador regulado,Trader no regulado,Trader no regulado,Trader no regulado,Trader no regulado",0.005,1.045,1.0,,85.7,0,75.72,0,,0,0
2016-02-25,2016-05-24,2016-05-25,2016-05-31,PEQUEÑO,Comercializador regulado,3,3,"Comercializador regulado,Comercializador regulado,Comercializador regulado,Comercializador regulado,Trader expuesto a bolsa (sin cobertura)",0.005,1.052,1.0,,85.7,0,75.72,0,,1,1
2016-02-25,2016-05-24,2016-05-25,2016-05-31,GRANDE,Comercializador regulado,1,1,"Comercializador regulado,Comercializador regulado,Comercializador regulado,Comercializador regulado,Comercializador regulado",1.0,1.752,1.0,,57.1,0,73.57,1,,0,0
2016-03-26,2016-06-23,2016-06-24,2016-06-30,PEQUEÑO,Comercializador regulado,3,3,"Comercializador regulado,Comercializador regulado,Comercializador regulado,Comercializador regulado,Trader expuesto a bolsa (sin cobertura)",0.005,1.209,1.0,,85.7,0,89.05,0,,1,1
