estudio_ini,estudio_fin,impacto_ini,impacto_fin,segmento,arquetipo_ganador,n_arquetipos,n_efectivo,codigos_arquetipos,p_valor_bootstrap_arquetipo,ratio_replicacion,dsr,holdout_pct,pct_dias_gana_segmento,kill_switch_1_0,ev_historico_cop_kwh,supera_capacidad_1_0,mae_f1_promedio_pp,n1_completo_1_0,n2_1_0,valida_final_1_0,gates_detalle
2017-10-17,2018-01-14,2018-01-15,2018-01-21,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,3,"Comercializador regulado,Trader expuesto a bolsa (sin cobertura)",0.001,1.096,0.975,100.0,100.0,0,90.82,0,,True,True,1,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
2016-10-22,2017-01-19,2017-01-20,2017-01-26,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,3,"Comercializador regulado,Trader expuesto a bolsa (sin cobertura)",0.001,1.098,1.0,100.0,100.0,0,91.64,0,,True,True,1,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
2020-09-01,2020-11-29,2020-11-30,2020-12-06,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),4,4,"Comercializador regulado,Trader expuesto a bolsa (sin cobertura)",0.001,1.466,0.999,100.0,100.0,0,87.87,0,,True,True,1,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
2018-01-15,2018-04-14,2018-04-15,2018-04-21,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,3,"Trader expuesto a bolsa (sin cobertura),Trader no regulado",0.001,1.141,0.999,,100.0,0,89.42,0,,True,True,1,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
2017-02-19,2017-05-19,2017-05-20,2017-05-26,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,3,"Comercializador regulado,Trader expuesto a bolsa (sin cobertura)",0.001,1.26,0.913,100.0,100.0,0,125.59,0,,False,True,0,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=0;
2021-04-29,2021-07-27,2021-07-28,2021-08-03,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),4,4,Trader expuesto a bolsa (sin cobertura),0.001,1.005,0.917,100.0,100.0,0,64.86,0,,False,True,0,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=0;
2022-04-24,2022-07-22,2022-07-23,2022-07-29,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),4,4,Trader expuesto a bolsa (sin cobertura),0.001,0.972,0.92,100.0,100.0,0,11.46,0,,False,True,0,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=0;
2025-12-04,2026-03-03,2026-03-04,2026-03-10,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),4,4,"Comercializador regulado,Trader expuesto a bolsa (sin cobertura)",0.001,2.084,0.837,100.0,100.0,0,77.25,0,,False,True,0,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=0;
2017-09-17,2017-12-15,2017-12-16,2017-12-22,MEDIANO,Trader no regulado,2,2,"Trader no regulado,Trader no regulado",0.001,1.137,1.0,,100.0,0,87.94,0,,False,True,0,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=0;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
2015-01-31,2015-04-30,2015-05-01,2015-05-07,MEDIANO,Trader no regulado,2,2,"Comercializador regulado,Comercializador regulado",0.001,1.001,1.0,,100.0,0,84.79,0,,False,True,0,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=0;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
2015-01-01,2015-03-31,2015-04-01,2015-04-07,MEDIANO,Trader no regulado,2,2,"Comercializador regulado,Comercializador regulado",0.001,0.978,1.0,,100.0,0,83.95,0,,False,True,0,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=0;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
2017-04-20,2017-07-18,2017-07-19,2017-07-25,MEDIANO,Trader no regulado,2,2,Trader no regulado,0.002,0.983,0.999,,100.0,0,87.39,0,,False,True,0,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=0;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
